text,aspect,y
"Yıllar önce keyifli mekan sayısı azken sıklıkla tercih ettiğimiz, mekan sayısı arttıkça da geri plana ittiğimiz mekanlardan.",RESTAURANT#GENERAL,neutral
Bahçesi insana huzur veriyordu...,AMBIENCE#GENERAL,positive
"Manzara guzel servis rezalet , 3 kere soylemeden getirmiyorlar , iki kere degil 5 kere dusunun gelirken",AMBIENCE#GENERAL,positive
Bir yanı benzinlik bir yanı mezarlık manzaralı ama çokta tutan bir cafe.,AMBIENCE#GENERAL,negative
E5 üstünde olduğu için çabuk direksiyon kırılıp az vakitte çok oturmalık kolaylığı için tercih ettik.,LOCATION#GENERAL,positive
Bahçesi keyifli yemekte çok kötü değildi.,AMBIENCE#GENERAL,positive
Arkasından içtiğimiz kahve için çok beklesekte fazla beklentisiz bir cafe olduğundan notu 3.5 olarak verdim,SERVICE#GENERAL,negative
Acik kasarli pide.,SERVICE#GENERAL,negative
"besiktas barbarosta bulunan sampi sabaha kadar acik,gece cani cekenler icin ideal ve paket servisi de var,kapali kasarlisi da cok lezzetli oluyor",FOOD#QUALITY,positive
Pizzalarini fena bulmadim.,FOOD#QUALITY,neutral
Acikcasi cok ayilip bayilani var ama ben daha kalin hamurlu pizzalari seviyorum.,FOOD#STYLE_OPTIONS,negative
Ama Pizzeria Trio' nun pizzalari da guzel.,FOOD#QUALITY,positive
Ben Trio Speciale yi tercih ettim.,FOOD#QUALITY,positive
Eti kotuydu net ama geri kalan urunleri fena sayilmazdi.,FOOD#QUALITY,neutral
İnanilmaz bir manzaraya sahip bu arada mekan.,AMBIENCE#GENERAL,positive
"Pizza, sarap, manzara kombini icin gidilebilir.",DRINKS#QUALITY,positive
Özellikle bahçesini tercih edin giderseniz.,AMBIENCE#GENERAL,positive
açık alan gayet rahat.,AMBIENCE#GENERAL,positive
gürüldü de daha az.,AMBIENCE#GENERAL,positive
"içecekler güzel, ama fastfood tarzı atıştırmalık tercih edecekseniz pek tavsiye etmem.",DRINKS#QUALITY,positive
Yemekler fena değil fakat porsiyonlar çok ufak.,FOOD#QUALITY,neutral
rejim yapanlar düşünülmüş sanırım.,FOOD#QUALITY,neutral
Fiyat biraz fazla gibi.,RESTAURANT#PRICES,negative
Burasi eskiden favori yerlerimdendi menüsü degisti ve artik eski menudeki yemeklerin bile tadi ayni degil lezzet olarak cok kötü.,FOOD#QUALITY,negative
Lezzet disinda degerlendirirsek hem dis alani bahcesiyle hemde ic alani rahat buyuk koltuklariyla cok keyifli bir mekan,AMBIENCE#GENERAL,positive
Denize yakın yer bulursanız şanslısınız ...,AMBIENCE#GENERAL,positive
Tadı bir başka aşşkın kuruçeşmenin en iyi mekanı diyebiliriz arkadaşlarla kahve içip sohbet etmek burda bir başka,RESTAURANT#GENERAL,positive
Kadıköy'ün bira cennetlerinden biri.,DRINKS#STYLE_OPTIONS,positive
Eski çalışanları daha iyi ve samimiydi diye düşünüyorum.,SERVICE#GENERAL,negative
"Mevcut çalışanlarının marjinal görünümlerini yadırgamamakla birlikte , bu marjinal görüntü hafiften cool davranışlara kaçıyor, bu da hizmete olumsuz yansıyor.",SERVICE#GENERAL,negative
Daha gülümseyen bir çalışan profili olmalı.,SERVICE#GENERAL,negative
"Hizmeti ortalama, yemekler ortalama.",FOOD#QUALITY,neutral
Yine de bol çeşit bira denemek ve müzik dinlemek için gidilmeli.,AMBIENCE#GENERAL,positive
Yemekler çok vasat.,FOOD#QUALITY,negative
her zaman çok yoğun.,SERVICE#GENERAL,negative
içerde müzikten birbirini duyamıyorsun.,AMBIENCE#GENERAL,negative
servis elemanları kaba.,SERVICE#GENERAL,negative
sadece fiyatlar makul.,RESTAURANT#PRICES,positive
menü kısıtlı,FOOD#STYLE_OPTIONS,negative
"Cizbiz koftesi , sutis moccachinosu , dtox corbasi ve haftasonu hahvalti zenginligiyle tavsiye edebilecegim bir Mekan manzarasi , ulasim rahatligi konforuyle denemenizi tavsiye Ederim",LOCATION#GENERAL,positive
Sosyal medyada ünlü olduktan sonra kaliteyi düşürmüş mekanlardan bir tanesi.,RESTAURANT#GENERAL,negative
"Manzarası muhteşem,servis orta ama yemekler üzgünüm kötü.",RESTAURANT#GENERAL,negative
"Arkadaşım aşkı memnu söyledi,ben de cheescake söyledim.",FOOD#QUALITY,neutral
İkisi de durmuş ve kötü kalite malzeme kullanılmıştı.,FOOD#QUALITY,negative
En azından adlarıyla özdeşleşmiş tatlılarına özen göstermelerini beklerdim.,FOOD#QUALITY,negative
Bu manzarada ne versek yerler mantığında bir işletmenin Kuruçeşme'de olmasına çok üzüldüm.,RESTAURANT#GENERAL,negative
"Önermiyorum, eminim aynı güzellikte manzaraya sahip ama yemekleri müşteriye saygı gereği taze ve iyi malzemeyle yapılmış bir yer bulabilirsiniz civarda.",AMBIENCE#GENERAL,positive
anzarasi harika...,AMBIENCE#GENERAL,positive
- Burasi haftada bir ugramaya çalistigim ve manzarasina bayildigim bir mekan.,AMBIENCE#GENERAL,positive
Ancak bir seyler yemek için çok iyi denemez.,FOOD#QUALITY,negative
Pastalari 3. sinif pastane mamulleri gibi...,FOOD#QUALITY,negative
Ayrica genelde çok kalabalik olmasi nedeniyle yer kapmak için bayagi bir ugrasmak gerekiyor.,SERVICE#GENERAL,negative
Servis vasat.,SERVICE#GENERAL,negative
"Çatal, bıçak pis ve cevizli baklavası şerbetinden insanın midesini bulandiriyor.",SERVICE#GENERAL,negative
Ayrıca baklava yanmış gibi.,FOOD#QUALITY,negative
Fıstıklı tatlılar idare eder.,FOOD#QUALITY,neutral
Uğramaya gerek yok çok daha iyi yerler var.,FOOD#QUALITY,neutral
Karakoyde yer alan sirin bir cafe.,RESTAURANT#GENERAL,positive
3 kisi icin idealdi.,RESTAURANT#GENERAL,positive
Cin cayi nin tadi da cok guzeldi.,DRINKS#QUALITY,positive
Kavun aromasinin kivami yerindeydi ama ic ic bitmedi bir turlu.,DRINKS#QUALITY,positive
Sık sık gelip butun caylardan denemek lazim.,DRINKS#QUALITY,positive
Fiyatlar yuksek ama verdiginiz paraya degiyo,RESTAURANT#GENERAL,positive
Dekorasyonu cok hos.,AMBIENCE#GENERAL,positive
Cok rahat koltuklari var.,AMBIENCE#GENERAL,positive
Oturup saatlerce kaliteli cay esliginde muhabbet edebilirsiniz.,DRINKS#QUALITY,positive
Arkadasim ozel demlikte cin cayi soyledi ben de ev yapimi seftalili buzlu cay.,DRINKS#QUALITY,positive
Buzlu cay hayatimda ictigim en iyi buzlu caydi.,DRINKS#QUALITY,positive
Seker orani yerindeydi ve cok ferahlatiyordu.,DRINKS#QUALITY,positive
Fiyat/Performans olarak gidilebilecek mekanlardan birisi Uzunlar Kebap.,RESTAURANT#GENERAL,positive
Piyasada bulunan kebapçılara göre 1 tık daha iyidir.,RESTAURANT#GENERAL,positive
"Haftasonu gezmeleri için de gidilebilir, aç kaldığınızda yemeğimi yiyip hemen kalkayım mantığında da gidebilirsiniz.",RESTAURANT#GENERAL,positive
"Berbat bir yer,insanlarin sefil oldugu,göcmen burosuna sıra bekleyen biri gibi hissettim,rezalet...",RESTAURANT#GENERAL,negative
asla gitmeyin.,RESTAURANT#GENERAL,negative
paranızla rezil olmak isterseniz buyrun derim.,RESTAURANT#GENERAL,negative
Bir goz baslayan ekonomik hayatina neredeyse tum sokaga yerleserek devam eden bir isletme.,RESTAURANT#GENERAL,negative
Menusundeki hemen hemen hersey oldukca lezzetli.,FOOD#QUALITY,positive
Ozellikle acik bufe sabah kahvaltisi evinizde yapiyormus gibi keyifli.,FOOD#QUALITY,positive
"Ogle yemeklerinde mutlaka erken orda olmak gerek, yoksa yiyeceknyemek bulmakta zorlanabilirsiniz.",FOOD#QUALITY,positive
"Standart bir kahvalti fakat ortam,servis,mekanin konumu çitayi yükseltiyor.",AMBIENCE#GENERAL,positive
"Özellikle servis elemani Sezgin bey 'in isini bu kadar iyi yapmasi ve herkesle esit ayni güler yüzle ilgilenmesi , masalar arasi slalom yaparken hiç bir istegi ikiletmemesi hepimizin sempatisini ve takdirini kazandi.",SERVICE#GENERAL,positive
Göksu'da gidilebilecek en hos cafelerden biri bence.,RESTAURANT#GENERAL,positive
Geniş bahçesi ve terası ile bu lokasyona yakın arkadaşların yaz akşamlaında açık haavada nargile keyfi yapabilecekleri bir mekan.,AMBIENCE#GENERAL,positive
çıkışta dürüm tır da dürümlerinizi yiyebilirsiniz ?,AMBIENCE#GENERAL,positive
Ulasim oldukca kolay.,LOCATION#GENERAL,positive
Otoparki vale sistemiyle calisiyor.,LOCATION#GENERAL,neutral
Cevre duzenlemesi okadar guzel yapilmiski daha yemekleri tatmadan iyi geldim diyorsunuz.,AMBIENCE#GENERAL,positive
"Etler , meze, salata ve patates kizartmasi da size kesinlikle aksini dusundurmuyor.",FOOD#QUALITY,positive
Hepsi ayri lezzetli.,FOOD#QUALITY,positive
Acildigindan beri ara sira gidiyordum.,RESTAURANT#GENERAL,neutral
Ickiyi yasakladiklari icin (kendi tabirleriyle %15 musteriden biri old.,RESTAURANT#GENERAL,neutral
icin) artik gitmiyorum.,RESTAURANT#GENERAL,negative
Yasaklatanlara hayirli olsun!,RESTAURANT#GENERAL,negative
Vasat - Istanbul'daki kebapçilarla kiyaslayacak olursak gerçekten vasat.,FOOD#QUALITY,neutral
Ama benim derdim kebap degil yeni bir yer görmek diyorsaniz kesinlikle tavsiye edilir.,AMBIENCE#GENERAL,positive
Ancak çok büyük beklentiyle gidilmemeli ki sonra çok üzülmemeli:,RESTAURANT#GENERAL,neutral
Ozel gun yemeklerinizi yiyebileceginiz luks bir restorant.,RESTAURANT#GENERAL,positive
Kulbasti ve ozellikle ev yapimi sufleyi tavsiye ediyorum.,FOOD#QUALITY,positive
Rezervasyon sirasinda ozel gununuzu soylediginiz takdirde sampanya ikramlari oluyor bu guzel bir jest,SERVICE#GENERAL,positive
Yemek servisi ve lezzeti iyi bir restaurant.,SERVICE#GENERAL,positive
Servis Süreleri biraz uzun birde bulunduğu mekana ve mekanın fiziksel kalitesine göre fiyatlar pahalı.,SERVICE#GENERAL,negative
Daha mütevazı menu fiyatları olsa daha sık ziyaret edilebilir,RESTAURANT#PRICES,negative
Çikolatalı baklavasına bayılıyorum kesinlikle en favori tatlım.,FOOD#QUALITY,positive
Diğer bütün tatlılarının kalitesi ve lezzeti üst seviyede.,FOOD#QUALITY,positive
Güllüoğlu bu konuda uzman.,RESTAURANT#GENERAL,positive
Nusret etin prensi diyorsak bildiğimiz var ki diyoruz.,FOOD#QUALITY,positive
😎 Etleri muhteşem lezzetliydi.,FOOD#QUALITY,positive
Evde de aynısını bir aşçı adayı olarak yapsam bile Nusret'inki farklı.,FOOD#QUALITY,positive
Kaliteli yemek sevenler mutlaka gitsin denesin.,FOOD#QUALITY,positive
Jumbo combo ve kola istedim ama börek ve tavuk parçaları dışındaki tatlar bana göre değildi.,FOOD#QUALITY,positive
Sosları sevmedim ve soğan halkalarının tadı tatlı geldi.,FOOD#QUALITY,negative
Nachos istemediğime pişman oldum.,FOOD#QUALITY,positive
Cumartesi olmasına rağmen sakindi.,AMBIENCE#GENERAL,positive
Telefonun şebekesi çekmediği için wifi ye bağlanmak istedim ama oturduğum müddetçe başarılı olmadım.,SERVICE#GENERAL,negative
Servis hızlı ve çalışanları pozitifti.,SERVICE#GENERAL,positive
Güzel bir cafe ama maalesef hard rock değil.,AMBIENCE#GENERAL,negative
"açıkçası çokta tavsiye edilecek bir yer değil bence , press ile yanyana olunca bir orayada bakayim dedim fakat oturmamla kalkmam bir oldu .",RESTAURANT#GENERAL,negative
Sadece Türk kahvesi var ve bir sürü çay çeşidi tadlari belki güzeldir ama hem pahali hem gereksiz bir yer bence,RESTAURANT#GENERAL,negative
Birde burdaki yerini deniyeyim dedim geçenlerde ama tam bir hayal kirikligi garsonlar asiri ilgisiz kebaplar diger subelerine göre basarisiz cok sarimsakli ve rahatsiz edici manzara gibi bir olayi yok bridge 'in tam tersi tarafinda kaldigi icin evlere bakiyor bos bos gitmeye degecek bir yer degil lezzette kötü zaten ilk ve son gidisim olacak fakat servis için göztepe subesi gerçekten güzel salatalari bile paket sekilde gonderiyor .,AMBIENCE#GENERAL,negative
"Dostlarinizla birlikte gürültüden uzak, bir seyler içme düsüncesindeyseniz birbirinizin sesini rahatlikla duyabileceginiz mükemmel bir yer Limonlu Bahçe.",AMBIENCE#GENERAL,positive
Bahçesindeki kedilerinin birbirini kovalamasi ise mutluluktan midenizde kelebekler uçurtuyor!,AMBIENCE#GENERAL,positive
Tek sorun siparisin çok geç gelmesi ve yemeklerin performans-fiyat birlikteliginin tutarli olmamasi,FOOD#PRICES,negative
"Popülerliğin etkisiyle kaliteyi düşüren, malzemeyi azaltan bir yer oldu.",RESTAURANT#GENERAL,negative
Baklavada fıstığı ara ki bulasın.,FOOD#STYLE_OPTIONS,negative
"Paket alınan baklavaların bayat olma ihtimali yüksek, dikkatli olun.",FOOD#QUALITY,negative
Su böreği de kötü.,FOOD#QUALITY,negative
Zaten o kalabalıkta oturmaya o gürültüyü çekmeye bile değmez.,AMBIENCE#GENERAL,negative
Normal mekan normal tatlar.,FOOD#QUALITY,neutral
Övgü üzerine gitmiştik ama fazla beklentiye girince bazen normal bulacağınız şeyi de bepenmeyebiliyorsunuz.,RESTAURANT#GENERAL,negative
Bence istanbulda iyi denilen mekanlarda bile meze probleni var.,FOOD#QUALITY,negative
Sıradan lezzetler.,FOOD#QUALITY,neutral
Burda da aynı durum geçerli işte,RESTAURANT#GENERAL,neutral
Her zaman keyifli - Her zaman keyifle gittigim mekanlardan biri olmustur.,RESTAURANT#GENERAL,positive
Bahçesi çok güzel.,AMBIENCE#GENERAL,positive
Misafirlerini çok güzel host ediyorlar.,SERVICE#GENERAL,positive
Canyon Road ve Big Burger her zaman favorimdir.,FOOD#QUALITY,positive
Pardon biraz once yazmistim.,FOOD#QUALITY,positive
Tekrar yazayim dedim.,FOOD#QUALITY,positive
Biri lutfen arka masada oturan bayanlari ikaz etsin:,FOOD#QUALITY,positive
cok yuksek sesle gulup egleniyorlar.,AMBIENCE#GENERAL,negative
Ugramadan geçmeyin - Konum olarak güzel bir yere kurulan ve disaridan geçerken görsel olarak içeri çagiran ayrica içeri girildiginde de pisman etmeyen bir mekan.,AMBIENCE#GENERAL,positive
"Burasi oldukça lezzetli yemekler yapiyor ve sunum, hijyen, herkes çok sicak kesinlikle gidilmeli.",FOOD#QUALITY,positive
"Güzel manzara, yetersiz menü - Otagtepe'nin manzarasi çok güzel ancak ne yazik ki bu manzaraya uyacak bir menü zenginligi, yemek kalitesi yok.",AMBIENCE#GENERAL,positive
Hizmet kalitesi de iyi degil.,SERVICE#GENERAL,negative
Deniz mahsullü pizzası güzel değil.,FOOD#QUALITY,negative
"Riske girmeden hamburger, wrap, sandviç tarzı bir şey söylemek en mantıklısı.",AMBIENCE#GENERAL,neutral
Ayrıca rezervasyon alıyorlar ki Numnum'sınız siz havanız kime diyesi geliyor insanın.,SERVICE#GENERAL,negative
"Pek çok kişiden duyunca merak edip öğlene doğru gittik mekana,denilenin aksine boştu ama sonrasında epey doldu.",SERVICE#GENERAL,negative
Fırında makarnasını denedim ama çok beğendiğimi söyleyemeyeceğim.,FOOD#QUALITY,negative
Zeytinyağlıları deneyince tam fikrimi belireteceğim.,FOOD#QUALITY,negative
"3 aydir haftasonlari ugrak noktamizdi, Kahvehane gibi maç ücreti 10 tl diye yazdilar yaa o gun bizim gozumuzde bitti.",RESTAURANT#PRICES,negative
Gidicekler simdiden dikkatli olsun.,RESTAURANT#GENERAL,negative
"Mudavimi oldugum diger mekanim, ascisi super yemekler cikariyor isletmecisini cok seviyoruz , balli tavuk salata , yesil mercimek corbasi, kestanesi suflesi ve birbirinden saglikli fresh meyve sulari deneyin derim ,bogazin gobeginde yemeginizi yemenin keyfine varin",RESTAURANT#GENERAL,positive
Fethipaşa korusunun içinde bulunan manzarasına göre uygun fiyata sahip salaş şık aileye uygun bir mekan.,RESTAURANT#PRICES,positive
özellikle yaz akşamları terasında semaver çayını denemelisiniz,DRINKS#QUALITY,positive
yaz ayları için bahçesi beşiktaş'taki en ferah yer olabilir.,AMBIENCE#GENERAL,positive
"yemekleri lezzetli, servis hızlı ve çalışanlar güler yüzlü.",FOOD#QUALITY,positive
iç dekorasyonu da gayet hoş.,AMBIENCE#GENERAL,positive
müzikler de ortam ile uyumlu.,AMBIENCE#GENERAL,positive
Malesef ki sadece pazar günü brunch veren bir yer.,FOOD#STYLE_OPTIONS,negative
Kahvaltısını denemediyseniz denemelisiniz çok fazla çeşit var hatta hangisini yesek diye şaşırıyorsunuz.,FOOD#STYLE_OPTIONS,positive
Saatlerce pazar keyfi yapabilceğimiz bir yer.,RESTAURANT#GENERAL,positive
Manzarasına zaten diyecek tek bir kelime yok.,AMBIENCE#GENERAL,positive
Böyle bir yerin tabi ki fiyatları Pahalı.,RESTAURANT#PRICES,negative
"Garsonlar ilgili, yemekler güzel",FOOD#QUALITY,positive
Tuzlanın meşhur balıkçısı.,RESTAURANT#GENERAL,positive
Eskiye nazaran kalitesi oldukça düşük.,RESTAURANT#GENERAL,negative
Eskiden mekan daha ufak sınırlı sayıda müşteriye hizmet eden ama kalitesini bozmayan bir yerdi.,RESTAURANT#GENERAL,negative
Maalesef son 1 senede kalitesinde ve serviste epey sıkıntılı.,SERVICE#GENERAL,negative
Tatlilari da denenmeli bence.,FOOD#QUALITY,positive
Manzarasi da ayrica güzeldir.,AMBIENCE#GENERAL,positive
Plaza insanı için öğle yemeklerinde bir alternatif kanımca.,RESTAURANT#GENERAL,positive
Değişiklik aradığımızda gidip pek de değilik bir şey yeniyoruz aslında.,RESTAURANT#GENERAL,positive
Ev yemeklerini hakettiğinden pahalıya sattıklarını düşünüyorum.,FOOD#PRICES,negative
Göksunun kenarında çok şirin bir yer.,AMBIENCE#GENERAL,positive
Yemekleri de gayet lezzetliydi.,FOOD#QUALITY,positive
Görselliğe pek önem vermedikleri aşikar yine de.,AMBIENCE#GENERAL,negative
Ama hizmet konusunda on puan veriyorum,SERVICE#GENERAL,positive
Uzun zamandan sonra yediğim en güzel kofte idi.,FOOD#QUALITY,positive
hamburgerde çok güzeldi.,FOOD#QUALITY,positive
roka salatası Güveçte mantarda başarılı idi.,FOOD#QUALITY,positive
biz kahvaltısında denemek üzere tekrar geliriz,RESTAURANT#GENERAL,positive
İstanbul'da daha fazla olması istenen mekanlardan.,RESTAURANT#GENERAL,positive
Dizaynı güzel.,AMBIENCE#GENERAL,positive
Kalabalık olduğunda bile çevrenizdeki masalarla iç içe hissettirmeyecek kadar ferah.,AMBIENCE#GENERAL,positive
Özellikle Boğaziçi Üniversitesi öğrencilerinin sıkça uğraması gereken bir mekan.,RESTAURANT#GENERAL,positive
Yemek menüsü geliştirilebilir.,FOOD#STYLE_OPTIONS,negative
Fiyatlar gayet uygun.,RESTAURANT#PRICES,positive
Quattro Stagioni ve Orto'yu denedik ancak beklentilerimizin altında kaldı.,FOOD#QUALITY,negative
Pizzalarından ziyade tiramusu çok daha başarılı.,FOOD#QUALITY,negative
Bir de dükkanın minyatür haldeki maketi çok tatlı.,AMBIENCE#GENERAL,positive
Cok fazla kisiye servis yapildigi icin cok basarili bulmuyorum mezeler dunden kalma gibi etler cok guzel degil yanliz adana kebabi fena degil ama daha iyileri oldugu icin baska yerde denemede fayda var,AMBIENCE#GENERAL,negative
Orta...,RESTAURANT#GENERAL,neutral
- Ambiansi hos.,AMBIENCE#GENERAL,positive
"Yemekleri basarili bulmuyorum, burgerler lezzetsiz, fajita için kullandiklari et uygun degil.",FOOD#QUALITY,negative
Genelde çok kalabalik oldugu için de servis kosturmaca içinde yapiliyor.,SERVICE#GENERAL,negative
Kadıköy'de yemek yenecek en iyi yerlerden birisi Happy Moon's.,FOOD#QUALITY,positive
Günün her saatinde gelinebilir.,RESTAURANT#GENERAL,positive
Servis hızlı sayılır mekan dekorasyonu gerçekten güzel.,SERVICE#GENERAL,positive
Manzara muhtesem ama servis icin ayni seyi soyleyemeyecegim.,SERVICE#GENERAL,negative
Peynirli omlet ve menemen lezzetliydi ama patates kizartmasi fazla yag cekmisti.,FOOD#QUALITY,positive
Gelen kahveler de maalesef sogumustu.,DRINKS#QUALITY,negative
Abartildigini düsünüyorum.,RESTAURANT#GENERAL,negative
Getirilen patates kizartmasi için kullanilan yag kaçinci kere kullanilmissa üzerinde siyahlasmis yag kalintilari vardi ve patatesler birakin çitir olmayi hamur gibiydi.,FOOD#QUALITY,negative
Domates/salatalik sögüs beklemekten pörsümüstü.,FOOD#QUALITY,negative
Etrafta kaotik bir hareketlilik yasanmasi yediginizden keyif almanizi zorlastiriyor.,AMBIENCE#GENERAL,negative
Üzerine ortalama bir döner olunca ben tekrar gidecegimi sanmam.,FOOD#QUALITY,neutral
Bayıldığım bir yer mekan çok hoş her mezeyi tatmak gerekli evet keşke fiyatlar daha insani boyutta olsa muhteşem olurdu ama ne yapayım o kadar keyif alıyorum ki verdiğimiz para can acıtmıyor sadece daha seyrek gitmemize sebep oluyor ortam yemekler ve müzik herşey harika,AMBIENCE#GENERAL,positive
nadir güllüoglunun yeri güzel bakimli ve taze lezzet sunuyor sadece bana çok sekerli geliyor damak tadimdan kaynaklanabilir hepsini genelde denedim fistikli baklava güzel,FOOD#QUALITY,neutral
Çengelköy'ün salaş Çınaraltı kahvaltısı dışında muhteşem bir alternatif.,FOOD#QUALITY,neutral
Mekanın içine cidden emek harcandığı her halinden belli.,AMBIENCE#GENERAL,positive
"Ne kadar yoğun olursa olsun, servis hızlı yenilen her şey çok lezzetli.",FOOD#QUALITY,positive
Pastırmalı yumurta konusunda hala gönlümün tek sultanıdır Sütiş.,FOOD#QUALITY,positive
Hasan Kolcuoğlu çok pahalı diyemem ama hesap yüksek sayılır; ayrıca sözde açık ama aslında kapalı alanında sigara içiliyor.,AMBIENCE#GENERAL,negative
"Mezeler çok çeşitli ve lezzetli, metrelik kebabı da güzel, o da gayet lezzetli fakat mecburen fix menü alınıyor.",AMBIENCE#GENERAL,negative
"Para ödeyip istediğini yiyememek biraz gereksiz israfa sebep oluyor, bence değişmeli",FOOD#STYLE_OPTIONS,negative
mantısı ficcini zeytinyağlı mezgiti ile cok guzel yer.,FOOD#QUALITY,positive
ama meyhane kismina bir kere oturdugumuzda arkadaslarimizi bekliyorduk zorla 10 tane meze getirdiler eger meze istemiyorsak oturamayacagimizi soylediler.,SERVICE#GENERAL,negative
terbiyesiz birkac garsonu dışında guzel bir yerdi,SERVICE#GENERAL,negative
Anadolu Yakasi'nda kebap yenebilecek en iyi ve en nezih yerlerden birisi.,FOOD#QUALITY,positive
Yemekleri ve ozellikle ara sicaklari cok lezzetli.,FOOD#QUALITY,positive
Servis cok hizli.,SERVICE#GENERAL,positive
Calisanlar guleryuzlu.,SERVICE#GENERAL,positive
Cerkez yemekleri sevenler icin guzel bir tercih .,FOOD#QUALITY,positive
"Ozellikle mantisini cok begenmistim, mezeleri vs lezzetliydi .",FOOD#QUALITY,positive
"Sadece son gittigimde calisanlarin muamelesinden hic hosnut kalmadim, bu konuda daha dikkatli olmalilar.",SERVICE#GENERAL,negative
Mekan dekorasyonu çok başarılı.,AMBIENCE#GENERAL,positive
Mezeler oldukça güzel ve çeşitli.,FOOD#QUALITY,positive
Ancak balıklara gelince bir durdum.,FOOD#QUALITY,negative
Bildiğin çiftlik balığı geldi.,FOOD#QUALITY,negative
Daha lezzetli bir ana yemek bekliyordum açıkçası.,FOOD#QUALITY,negative
Fiyatlar ortalama meyhane fiyatlarının üzerinde.,RESTAURANT#PRICES,neutral
"Etler güzel, eti az ama öz pişiren nadir yerlerden:",FOOD#QUALITY,positive
Penne siciliano yedim yerken guzeldi ama sonra yagindan butun gun midem yandi.,FOOD#QUALITY,positive
Arkadasim begendili tavuk yedi o da ayni seyi yasadi.,FOOD#QUALITY,negative
"Servis, ilgi mukemmel yemekler midede rahatsizlik yaratabiliyor.",FOOD#QUALITY,negative
Yediğim en iyi sahanda yumurta.,FOOD#QUALITY,positive
Yumurtanın neyi güzel demeyin.,FOOD#QUALITY,positive
Ortam mı yumurta mı tereyağı mı bilmiyorum.,FOOD#QUALITY,positive
"Kavurmalı efsane, saçma demeyin yanında bakır kapta ayranı da için.",DRINKS#QUALITY,positive
"Yemekleri standart , mudur tarzinda kapida bekleyen kisi soguk ve ters birisi...",FOOD#QUALITY,neutral
Bize bakan garson yuksek ses ile siparis almasi ayri bir entresan...,SERVICE#GENERAL,negative
Ayni tarz mekanlarda insan iliskileri fark yaratir.,SERVICE#GENERAL,negative
eskiden daha iyiydi.,RESTAURANT#GENERAL,negative
simdi fabrikasyon .,RESTAURANT#GENERAL,negative
servis .,RESTAURANT#GENERAL,negative
ok yavas.,RESTAURANT#GENERAL,negative
fiyatlar asiri uçmus.,RESTAURANT#PRICES,negative
artik lezzete degil popülerligine gidiliyor.,FOOD#QUALITY,negative
nusretin yerinde olsam buna üzülürdüm.,FOOD#QUALITY,negative
"Konum olaral harika , lezzet olarak iyi ancak gerçekten servis her gidişimde aynı kötülükte hiç ödün vermiyorlar bu konuda.",FOOD#QUALITY,positive
Birinin bu sorunu çözmesi gerekir,RESTAURANT#GENERAL,negative
"Sıcak, samimi ve içten kütük ev cafe ...",AMBIENCE#GENERAL,positive
Serpme kahvaltıların vazgeçilmezi oldu bizim için haftasonu buraya gelip keyifli vakit geçirebilirsiniz.,FOOD#QUALITY,positive
"Paket olarak dönerlerini aldım, özenle paketlenmişti, uzun bir yolculuk yapmış olmama rağmen açtığımda hala sıcaklığını koruyordu.",SERVICE#GENERAL,positive
Malzemeden kısılmaması ve etinin lezzeti beni çok memnun etti.,FOOD#STYLE_OPTIONS,positive
"Bir gun once ayni saatte oglen menusu getiren garson, bir gun sonra kustahca ""dun insiyatif alip getirdim ama bundan sonra vermem olur biter"" diyerek getirmedi.",SERVICE#GENERAL,negative
"Kesinlikle gitmeyin, muamele cok kotu.",SERVICE#GENERAL,negative
Iftardan sonra çay veya kahve keyfi yapmak için ideal bir yer.,DRINKS#QUALITY,positive
"Hem bogazin huzuruyla kendinizi dinlendirebilir, arkadaslarla koyu bir sohbetle uzun saatlerce oturabilir ve canli müzik esliginde keyfinize keyif katabilirsiniz.",AMBIENCE#GENERAL,positive
Fiyatlari gercekten pahali fakat kaliteli ve hos bir mekan ariyorsaniz kesinlikle tercih edilebilir.,RESTAURANT#PRICES,negative
Ozellikle begendilerine kattiklari damla sakizi o kadar hos bir aroma veriyor ki anlatamam.,FOOD#QUALITY,positive
Baslangiclarinin bir cogunu denedik hepside enfes.,FOOD#QUALITY,positive
Tatli olarak sufleyi tercih ettik ve ona da bayildik.,FOOD#QUALITY,positive
Mukemmel.,RESTAURANT#GENERAL,positive
Tek eksik olarak etin orta pisimisini istememize ragmen cok pismis bir et ile karsilastik.,FOOD#STYLE_OPTIONS,negative
Yıllardır dizaynini aynen koruyan uskudardaki muhteşem yemekleri olan esnaf lokantasi.,FOOD#QUALITY,positive
Esnaf lokantasi na göre fiyatları pahali ve kredi kartı geçmiyor.,RESTAURANT#PRICES,negative
Ancak yemekleri gerçekten çok lezzetli.,FOOD#QUALITY,positive
tatlilardan da irmik helvası ve fırında sutlaci öneririm.,FOOD#QUALITY,positive
Yıllardır İstanbul'daki favori pizzacım.,RESTAURANT#GENERAL,positive
Ben gittiğimde bir pizzayı hiç bir zaman kendim bitiremiyorum.,FOOD#STYLE_OPTIONS,positive
Mesela 3 kişiysek genelde 2 pizza söylüyoruz.,FOOD#STYLE_OPTIONS,positive
Birden çok pizza denemek adına pizzanın iki yarısını farklı yaptırın derim.,FOOD#STYLE_OPTIONS,positive
Servis porsiyonlar çok çok kötü.,SERVICE#GENERAL,negative
